Date,Close,High,Low,Open,Volume
2007-06-11,371.098876953125,374.5670907564252,360.6942355432243,367.6306631498248,946340000
2007-06-18,379.173828125,382.71750876168227,372.0864668516355,382.71750876168227,918150000
2007-06-25,386.26116943359375,389.80484988711294,372.0864476195169,379.1738085265553,1411190000
2007-07-02,403.9796142578125,414.6106567382812,386.2612101236979,389.8048909505208,1985800000
2007-07-09,414.6107177734375,418.1543991219284,400.4359923794738,414.61071777343744,1061000000
2007-07-16,439.4163513183594,442.9600315709268,407.52322904525266,407.52322904525266,678160000
2007-07-23,435.8726501464844,464.22209080641835,418.15424973402565,435.8726501464844,1491420000
2007-07-30,435.8726501464844,446.50369039395963,411.0668895690422,435.8726501464844,1540800000
2007-08-06,425.24176025390625,464.22225494384764,414.61071624755857,453.59121093749997,1354830000
2007-08-13,386.26116943359375,428.7853348758242,372.0864476195169,428.7853348758242,775970030
2007-08-20,425.24176025390625,425.24176025390625,389.80494689941406,396.8923095703125,1438720000
2007-08-27,425.24176025390625,428.78544158935546,407.52335357666016,425.24176025390625,877140000
2007-09-03,428.785400390625,432.32908138558884,421.6980384006973,428.785400390625,337400000
2007-09-10,425.24176025390625,425.24176025390625,411.06703491210936,418.1543975830078,680080000
2007-09-17,446.5038757324219,450.04755728585377,414.6107417515346,421.6981048583984,747690000
2007-09-24,435.8726501464844,460.6784107239266,435.8726501464844,446.50369039395963,429830000
2007-10-01,485.48419189453125,492.57155236014484,439.41634886804286,446.50370933365645,1213230000
2007-10-08,513.8338012695312,513.8338012695312,478.39698738887387,489.02803155307106,793550000
2007-10-15,489.0278625488281,513.8336236926093,481.9405022220335,513.8336236926093,366740000
2007-10-22,503.2027587890625,517.3774843887544,464.2222633899098,471.30962618975576,941240000
2007-10-29,517.3775024414062,535.0959100592626,510.29013939426363,510.29013939426363,775330000
2007-11-05,496.11541748046875,520.9211883544922,485.48437282017295,517.3775068010602,579060000
2007-11-12,492.57159423828125,513.8336774428113,474.8531915678395,481.9405526360162,906760000
2007-11-19,481.9405822753906,503.2026667875402,467.76585926729086,492.5716245314654,1572520000
2007-11-26,503.2027587890625,506.7464401889855,478.3969889896017,489.0280331893706,1106050000
2007-12-03,535.6728515625,539.24400390625,503.53248046874995,507.1036328125,1925630000
2007-12-10,528.5302124023438,542.8148127375423,517.8167621509449,542.8148127375423,916290000
2007-12-17,507.1036376953125,521.3882472078565,496.39018056090447,521.3882472078565,655130000
2007-12-24,521.3881225585938,535.6727286560895,507.1035164610981,507.1035164610981,676540000
2007-12-31,514.2457885742188,521.3880911933051,499.961183336046,521.3880911933051,829380000
2008-01-07,517.8170166015625,517.8170166015625,499.9612574084052,507.1035610856681,856190000
2008-01-14,492.8188171386719,517.8168730804886,471.3919120456861,514.2457222316576,1064320000
2008-01-21,514.2457885742188,514.2457885742188,421.3958545260959,471.3919728597005,1275910000
2008-01-28,507.1036376953125,517.8170948297205,492.8190281827685,499.96133293904046,290627500
2008-02-04,503.5322570800781,521.388010877244,496.38995556121176,510.6745585989445,246485000
2008-02-11,492.8188171386719,507.1034205339957,460.6784594991933,499.9611188363338,625152500
2008-02-18,514.2457885742188,521.3880911933051,492.81888071695965,496.3900320265028,906480000
2008-02-25,510.6745300292969,524.9591322678787,499.9610783503606,517.8168311485878,653205000
2008-03-03,507.1036376953125,517.8170948297205,492.8190281827685,499.96133293904046,513717500
2008-03-10,467.8208312988281,503.53234513843336,464.2496799148676,492.81889098655176,589217500
2008-03-17,457.1073913574219,457.1073913574219,403.540118932724,457.1073913574219,711330000
2008-03-24,464.24951171875,464.24951171875,432.1091609074519,442.8226111778846,721240000
2008-03-31,460.6785583496094,471.39201319494913,410.68243573802386,457.1074067344961,875650000
2008-04-07,414.2534484863281,449.964952666184,382.1130947244579,449.964952666184,1100885000
2008-04-14,464.24951171875,467.8206618088942,396.3976600060096,403.53996018629806,714895000
